# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1120.000000,0.775000,0.775000,0.775000,0.075000,0.075000,0.075000
2230.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
3340.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4450.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5560.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
6670.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
7780.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
8890.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
10000.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
